AccessionID,AccessionName,HasSeed,User,PopulationName,NumberOfMaternalLines,DateCollected,LocalityName,Latitude,Longitude,Altitude,Datum,Ploidy,StorageLocation,Source,ExternalID,Background,Generation,CountryOfOrigin,Notes,FirstParentID,SecondParentID,FirstParentSex,SecondParentSex
1,Adi1,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,Spain,,,,,
2,Adi2,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,,,,,,
3,Adi3,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,,,,,,
4,Adi4,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,,,,,,
5,Adi5,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,Spain,,,,,
6,Adi6,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,,,,,,
7,Adi7,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,,,,,,
8,Adi8,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,,,,,,
9,Adi9,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,,,,,,
10,Adi10,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,,,,,,
11,Adi11,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,,,,,,
12,Adi12,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,,,
13,Adi13,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,France,,,,,
14,Adi14,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,,,
15,Adi15,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,,,
16,Adi16,,,,,,Adiyaman,37.77,38.35,510,,diploid,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,,,
