,accession_name,has_seed,population,species_id,collector_id,date_collected,has_seed,locality_name,latitude,longitude,altitude,datum,collection_trip_id,maternal_lines,ploidy,box_id,source,external_id,background,generation,country_origin,notes,lineage_id,accession_data_json
1,Adi-1,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,Spain,,,
2,Adi-2,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
3,Adi-3,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
4,Adi-4,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
5,Adi-5,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,Spain,,,
6,Adi-6,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
7,Adi-7,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
8,Adi-8,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
9,Adi-9,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
10,Adi-10,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
11,Adi-11,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,,,,
12,Adi-12,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,
13,Adi-13,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,France,,,
14,Adi-14,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,1,,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,
15,Adi-15,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,0,,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,
16,Adi-16,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,0,,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,
17,Adi-17,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,0,,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,
18,Adi-18,,,6,3,27/07/2012,,Adiyaman,37.7706944444444,38.3522777777778,510,,,0,,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,
19,Bis-1,,,6,3,27/07/2012,,Bismil,37.8765555555556,41.0150833333333,529,,,0,,,Iain Wilson (CSIRO PI),,,,France or Ibarian Penincula,,,
20,Gaz-1,,,6,3,14/09/2012,,Gaziantep,37.1277222222222,37.3908055555556,891,,,1,,,Richard Poire (CSIRO HRPPC),,,,Turkey,,,
21,Gaz-2,,,6,3,27/07/2012,,Gaziantep,37.1277222222222,37.3908055555556,891,,,1,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
22,Gaz-3,,,6,3,27/07/2012,,Gaziantep,37.1277222222222,37.3908055555556,891,,,1,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
23,Gaz-4,,,6,3,27/07/2012,,Gaziantep,37.1277222222222,37.3908055555556,891,,,1,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
24,Gaz-5,,,6,3,27/07/2012,,Gaziantep,37.1277222222222,37.3908055555556,891,,,1,,,Iain Wilson (CSIRO PI),,,,Turkey,,,
